model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_fuel,model_transmission_type,model_drive
5694,bmw,2000,CS,1970,Sedan,Front,1991,4,in-line,Gasoline,Automatic,Rear
5381,bmw,2002,Cabriolet,1970,Convertible,Front,1989,4,in-line,Gasoline,Manual,Rear
5196,bmw,2002,Cabriolet,1971,Convertible,Front,1990,4,in-line,Gasoline,Manual,Rear
4572,bmw,2002,ti,1971,Convertible,Front,1983,4,in-line,Gasoline,Manual,Rear
5554,bmw,3,CS,1971,Coupe,Front,2986,6,in-line,Gasoline,Manual,Rear
5411,bmw,3,S,1971,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
4430,bmw,3,Si,1971,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
4292,bmw,Touring,i,1971,Sedan,Front,1573,4,in-line,Gasoline,Automatic,Rear
5461,bmw,2002,Cabriolet,1972,Convertible,Front,1990,4,in-line,Gasoline,Manual,Rear
5009,bmw,3,CSi,1972,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
4257,bmw,3,CSL,1972,Coupe,Front,3003,6,in-line,Gasoline,Manual,Rear
5412,bmw,520,i,1972,Sedan,Front,1989,4,in-line,Gasoline,Manual,Rear
4975,bmw,520,i,1972,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear
4529,bmw,M1,i,1972,Coupe,Middle,1990,4,in-line,Gasoline,Manual,Rear
4634,bmw,Touring,i,1972,Sedan,Front,1574,4,in-line,Gasoline,Automatic,Rear
5467,bmw,Turbo,Prototype,1972,Sedan,Middle,1991,4,in-line,Gasoline,Manual,Rear
5272,bmw,1502,i,1973,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear
5001,bmw,2004,i,1973,Sedan,Front,1991,4,in-line,Gasoline,Automatic,Rear
4728,bmw,3,CSL,1973,Coupe,Front,3153,6,in-line,Gasoline,Manual,Rear
5603,bmw,3.3,L,1973,Sedan,Front,3295,6,in-line,Gasoline,Automatic,Rear
4678,bmw,525,d Touring,1973,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear
4875,bmw,Touring,i,1973,Sedan,Front,1573,4,in-line,Gasoline,Automatic,Rear
4994,bmw,1502,i,1974,Sedan,Front,1574,4,in-line,Gasoline,Manual,Rear
4512,bmw,2.8,L,1974,Sedan,Front,3293,6,in-line,Gasoline,Automatic,Rear
5606,bmw,3,Si,1974,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear
5069,bmw,518,i,1974,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear
4583,bmw,Touring,i,1974,Sedan,Front,1572,4,in-line,Gasoline,Automatic,Rear
4212,bmw,1502,i,1975,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear
5285,bmw,1602,i,1975,Sedan,Front,1574,4,in-line,Gasoline,Automatic,Rear
4330,bmw,315,i,1975,Coupe,Front,1574,4,in-line,Gasoline,Automatic,Rear
4442,bmw,316,Automatic,1975,Coupe,Front,1573,4,in-line,Gasoline,Manual,Rear
5640,bmw,320,i,1975,Sedan,Front,1990,4,in-line,Gasoline,Manual,Rear
5080,bmw,320,i,1975,Sedan,Front,1991,6,in-line,Gasoline - Premium,Manual,Rear
4463,bmw,520,i,1975,Sedan,Front,1991,4,in-line,Gasoline,Manual,Rear
5560,bmw,530,d,1975,Sedan,Front,2786,6,in-line,Gasoline,Automatic,Rear
5530,bmw,Coupe,3 Litri,1975,Coupe,Middle,3001,6,in-line,Gasoline,Manual,Rear
4901,bmw,3.3,Li,1976,Sedan,Front,3295,6,in-line,Gasoline,Automatic,Rear
5290,bmw,628,CSi,1976,Coupe,Front,2997,8,in-line,Gasoline,Manual,Rear
4959,bmw,630,CS,1976,Coupe,Front,2986,6,in-line,Gasoline - Premium,Manual,Rear
4880,bmw,630,CSi,1976,Coupe,Front,2986,6,in-line,Gasoline - Premium,Manual,Rear
5678,bmw,633,CSi,1976,Coupe,Front,3210,6,in-line,Gasoline,Manual,Rear
4813,bmw,633,CSi,1976,Coupe,Front,3210,6,in-line,Gasoline,Manual,Rear
5013,bmw,Karmann Asso di Quadri,Concept,1976,Sedan,Front,1991,4,in-line,Gasoline,Automatic,Rear
5432,bmw,320,i,1977,Coupe,Front,1989,4,in-line,Gasoline,Manual,Rear
4812,bmw,320,i,1977,Coupe,Front,1990,4,in-line,Gasoline - Premium,Manual,Rear
5332,bmw,520,d,1977,Sedan,Front,1990,6,in-line,Gasoline,Manual,Rear
5348,bmw,520,d,1977,Sedan,Front,1951,4,in-line,Gasoline,Manual,Rear
4766,bmw,528,i,1977,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear
5030,bmw,530,d,1977,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear
5415,bmw,628,CSi,1977,Coupe,Front,2997,8,in-line,Gasoline,Manual,Rear
4372,bmw,728,i,1977,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear
5305,bmw,732,i,1977,Sedan,Front,3210,6,in-line,Gasoline,Manual,Rear
4915,bmw,320,Turbo,1978,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear
5309,bmw,520,d Touring,1978,Station Wagon,Front,1951,4,in-line,Gasoline,Manual,Rear
4792,bmw,628,CSi,1978,Coupe,Front,2997,8,in-line,Gasoline,Manual,Rear
4622,bmw,725,d,1978,Sedan,Front,2495,6,in-line,Gasoline,Manual,Rear
4944,bmw,730,Automatic,1978,Sedan,Front,2788,6,in-line,Gasoline,Manual,Rear
5353,bmw,B7,Turbo S,1978,Sedan,Front,3500,6,in-line,Gasoline,Manual,Rear
