model_id,model_make_id,model_name,model_trim,model_year,model_body,model_engine_position,model_engine_cc,model_engine_cyl,model_engine_type,model_engine_fuel,model_transmission_type,model_drive,car_age,engine_size_category,is_high_cyl,is_automatic,top_speed_kmh,acceleration_0_100_sec,co2_emissions_gpkm,safety_rating,num_doors
5694,bmw,2000,CS,1970,Sedan,Front,1991,4,in-line,Gasoline,Automatic,Rear,55,Medium,0,1,220,7.0,160,4,4
5381,bmw,2002,Cabriolet,1970,Convertible,Front,1989,4,in-line,Gasoline,Manual,Rear,55,Medium,0,0,220,7.0,160,4,4
5196,bmw,2002,Cabriolet,1971,Convertible,Front,1990,4,in-line,Gasoline,Manual,Rear,54,Medium,0,0,220,7.0,160,4,4
4572,bmw,2002,ti,1971,Convertible,Front,1983,4,in-line,Gasoline,Manual,Rear,54,Medium,0,0,220,7.0,160,4,4
5554,bmw,3,CS,1971,Coupe,Front,2986,6,in-line,Gasoline,Manual,Rear,54,Large,1,0,220,7.0,160,4,4
5411,bmw,3,S,1971,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,54,Large,1,0,220,7.0,160,4,4
4430,bmw,3,Si,1971,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,54,Large,1,0,220,7.0,160,4,4
4292,bmw,Touring,i,1971,Sedan,Front,1573,4,in-line,Gasoline,Automatic,Rear,54,Medium,0,1,220,7.0,160,4,4
5461,bmw,2002,Cabriolet,1972,Convertible,Front,1990,4,in-line,Gasoline,Manual,Rear,53,Medium,0,0,220,7.0,160,4,4
5009,bmw,3,CSi,1972,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,53,Large,1,0,220,7.0,160,4,4
4257,bmw,3,CSL,1972,Coupe,Front,3003,6,in-line,Gasoline,Manual,Rear,53,Very Large,1,0,220,7.0,160,4,4
5412,bmw,520,i,1972,Sedan,Front,1989,4,in-line,Gasoline,Manual,Rear,53,Medium,0,0,220,7.0,160,4,4
4975,bmw,520,i,1972,Sedan,Front,1991,6,in-line,Gasoline,Manual,Rear,53,Medium,1,0,220,7.0,160,4,4
4529,bmw,M1,i,1972,Coupe,Middle,1990,4,in-line,Gasoline,Manual,Rear,53,Medium,0,0,220,7.0,160,4,4
4634,bmw,Touring,i,1972,Sedan,Front,1574,4,in-line,Gasoline,Automatic,Rear,53,Medium,0,1,220,7.0,160,4,4
5467,bmw,Turbo,Prototype,1972,Sedan,Middle,1991,4,in-line,Gasoline,Manual,Rear,53,Medium,0,0,220,7.0,160,4,4
5272,bmw,1502,i,1973,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear,52,Medium,0,0,220,7.0,160,4,4
5001,bmw,2004,i,1973,Sedan,Front,1991,4,in-line,Gasoline,Automatic,Rear,52,Medium,0,1,220,7.0,160,4,4
4728,bmw,3,CSL,1973,Coupe,Front,3153,6,in-line,Gasoline,Manual,Rear,52,Very Large,1,0,220,7.0,160,4,4
5603,bmw,3.3,L,1973,Sedan,Front,3295,6,in-line,Gasoline,Automatic,Rear,52,Very Large,1,1,220,7.0,160,4,4
4678,bmw,525,d Touring,1973,Sedan,Front,2494,6,in-line,Gasoline,Manual,Rear,52,Large,1,0,220,7.0,160,4,4
4875,bmw,Touring,i,1973,Sedan,Front,1573,4,in-line,Gasoline,Automatic,Rear,52,Medium,0,1,220,7.0,160,4,4
4994,bmw,1502,i,1974,Sedan,Front,1574,4,in-line,Gasoline,Manual,Rear,51,Medium,0,0,220,7.0,160,4,4
4512,bmw,2.8,L,1974,Sedan,Front,3293,6,in-line,Gasoline,Automatic,Rear,51,Very Large,1,1,220,7.0,160,4,4
5606,bmw,3,Si,1974,Sedan,Front,2986,6,in-line,Gasoline,Manual,Rear,51,Large,1,0,220,7.0,160,4,4
5069,bmw,518,i,1974,Sedan,Front,1766,4,in-line,Gasoline,Manual,Rear,51,Medium,0,0,220,7.0,160,4,4
4583,bmw,Touring,i,1974,Sedan,Front,1572,4,in-line,Gasoline,Automatic,Rear,51,Medium,0,1,220,7.0,160,4,4
4212,bmw,1502,i,1975,Sedan,Front,1573,4,in-line,Gasoline,Manual,Rear,50,Medium,0,0,220,7.0,160,4,4
5285,bmw,1602,i,1975,Sedan,Front,1574,4,in-line,Gasoline,Automatic,Rear,50,Medium,0,1,220,7.0,160,4,4
4330,bmw,315,i,1975,Coupe,Front,1574,4,in-line,Gasoline,Automatic,Rear,50,Medium,0,1,220,7.0,160,4,4
4442,bmw,316,Automatic,1975,Coupe,Front,1573,4,in-line,Gasoline,Manual,Rear,50,Medium,0,0,220,7.0,160,4,4
5640,bmw,320,i,1975,Sedan,Front,1990,4,in-line,Gasoline,Manual,Rear,50,Medium,0,0,220,7.0,160,4,4
5080,bmw,320,i,1975,Sedan,Front,1991,6,in-line,Gasoline - Premium,Manual,Rear,50,Medium,1,0,220,7.0,160,4,4
4463,bmw,520,i,1975,Sedan,Front,1991,4,in-line,Gasoline,Manual,Rear,50,Medium,0,0,220,7.0,160,4,4
5560,bmw,530,d,1975,Sedan,Front,2786,6,in-line,Gasoline,Automatic,Rear,50,Large,1,1,220,7.0,160,4,4
5530,bmw,Coupe,3 Litri,1975,Coupe,Middle,3001,6,in-line,Gasoline,Manual,Rear,50,Very Large,1,0,220,7.0,160,4,4
4901,bmw,3.3,Li,1976,Sedan,Front,3295,6,in-line,Gasoline,Automatic,Rear,49,Very Large,1,1,220,7.0,160,4,4
5290,bmw,628,CSi,1976,Coupe,Front,2997,8,in-line,Gasoline,Manual,Rear,49,Large,1,0,220,7.0,160,4,4
4959,bmw,630,CS,1976,Coupe,Front,2986,6,in-line,Gasoline - Premium,Manual,Rear,49,Large,1,0,220,7.0,160,4,4
